epoch,loss_avg,accuracy,nmi_true_ped,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.4043146,0.49011666,0.4638242067992633,0.0,1223.1225001811981,730.2747507095337,310.68313479423523,0.6076157093048096,145.934223651886
1,0.9760546,0.66288334,0.5106691543792539,0.5214309552951469,1271.6964120864868,726.1175601482391,335.3828978538513,0.3713569641113281,132.07436847686768
2,0.9323918,0.68465,0.4614841630511173,0.7176168714963711,1260.2258439064026,727.6472022533417,333.6919810771942,0.48525238037109375,129.7861089706421
3,1.0693266,0.61896664,0.4183130798419133,0.5437476714484928,1270.185394525528,724.2589569091797,330.346560716629,0.3646254539489746,130.0144166946411
4,1.1414778,0.59276664,0.3410910403904576,0.4073211760537294,1235.8558852672577,726.1043074131012,337.3933913707733,0.38190579414367676,122.67666912078857
5,1.1830419,0.57346666,0.35656705147233636,0.558817374760224,1203.8320617675781,712.5362768173218,331.70727014541626,0.38413262367248535,111.56206226348877
6,1.1642456,0.58071667,0.3367151755441649,0.5448556793415198,1214.424690246582,711.8605937957764,333.43645906448364,0.3731515407562256,119.69230675697327
7,1.1358784,0.58591664,0.34377560077888525,0.6403370969358374,1197.9922301769257,707.5066158771515,332.99002051353455,0.3616182804107666,111.10764670372009
8,1.0503485,0.61953336,0.3446823651958528,0.5303645337635127,1225.3122656345367,734.1998209953308,331.92225766181946,0.3626739978790283,109.54781794548035
9,1.0625602,0.62095,0.3816236625935814,0.5881359060061504,1199.8582496643066,708.3684844970703,333.4431211948395,0.35484957695007324,107.7413239479065
