#Namespace(arch='AlexNet', batch_size=128, beta1=0.9, beta1_tl=0.9, beta2=0.999, beta2_tl=0.999, checkpoint=False, checkpoint_file=None, clustering='sklearn', data_dir='./data', dataset='FashionMNIST', deep_cluster_and_contrastive_loss=False, ds_split='train', ds_train=True, epochs=25, grayscale=False, input_dim=2, loss_fn='CrossEntropy', lr=0.05, lr_tl=0.05, metrics=True, metrics_dir='./metrics/FashionMNIST/5_runs_100_epochs/', metrics_file=None, momentum=0.9, momentum_tl=0.9, num_classes=10, optimizer='SGD', optimizer_tl='SGD', param_requires_grad=False, pca=True, pca_method='faiss', pca_reduction=256, pca_whitening=True, reassign_clustering=False, reassign_optimizer_tl=True, requires_grad=True, seed=None, sobel=True, verbose=True, weight_decay=1e-05, weight_decay_tl=1e-05)
epoch,loss_avg,contrastive_loss_avg,deep_cluster_loss_avg,accuracy,true_accuracy,nmi_true_pred,nmi_epochs,epoch_time,train_time,features_time,cluster_time,pca_time
0,1.3682686,0.0,1.3682686,0.5223023,0.4655448717948718,0.4814393644031704,0.0,307.1164710521698,129.0970582962036,47.0672390460968,9.133724927902222,121.67592573165894
1,1.1219168,0.0,1.1219168,0.573768,0.41466346153846156,0.3944778983003723,0.4635508759376079,311.0292806625366,117.7916316986084,46.8796923160553,9.591163873672485,136.63612818717957
2,0.8238889,0.0,0.8238889,0.69325924,0.4098557692307692,0.40999989781122365,0.468063472270461,299.68696784973145,117.69747042655945,47.197498083114624,9.903391361236572,124.7511465549469
3,0.787314,0.0,0.787314,0.7062467,0.41065705128205127,0.40207076920493834,0.6420680846566197,285.28784346580505,117.6108968257904,47.4550895690918,7.581904411315918,112.49887013435364
4,0.7275277,0.0,0.7275277,0.72571117,0.40596621260683763,0.39723665527424884,0.6663081700620131,300.21376276016235,121.81134510040283,47.344871044158936,11.612604141235352,119.30847239494324
5,0.722085,0.0,0.722085,0.72033584,0.39524906517094016,0.39804280015999655,0.5515066947779534,292.5111954212189,117.87186551094055,46.66829299926758,9.959085464477539,117.8747386932373
6,0.6612482,0.0,0.6612482,0.75041735,0.345836672008547,0.3810550425399936,0.6134943337449438,284.71387910842896,117.64257311820984,47.46466016769409,8.642133712768555,110.82598114013672
7,0.6526671,0.0,0.6526671,0.7540732,0.3516459668803419,0.3928412784266871,0.6838305578444366,290.20456743240356,121.43596124649048,47.36976480484009,7.496556520462036,113.76505374908447
8,0.6817265,0.0,0.6817265,0.7399673,0.3662359775641026,0.39658186508958704,0.6077908333685219,292.4722709655762,119.34513711929321,47.655722856521606,8.46920371055603,116.75127983093262
9,0.58437496,0.0,0.58437496,0.787076,0.33226495726495725,0.3701845871185137,0.5942401934472993,286.6552391052246,117.6784417629242,47.05595779418945,8.566927671432495,113.21292877197266
10,0.6210954,0.0,0.6210954,0.75801283,0.4015090811965812,0.40571096709345383,0.6236347422074263,288.97408628463745,118.15886330604553,47.820743560791016,9.969638109207153,112.88387417793274
11,0.62472665,0.0,0.62472665,0.759582,0.3928786057692308,0.37657157801140057,0.6198464211173209,287.5767343044281,123.533527135849,47.15620756149292,9.787997007369995,106.95741963386536
12,0.593886,0.0,0.593886,0.7719852,0.40231036324786323,0.3995494214173686,0.6329133135442807,297.8221335411072,123.72889995574951,46.781471490859985,9.359662532806396,117.69345712661743
13,0.6014666,0.0,0.6014666,0.7616854,0.3940471420940171,0.4048634524203023,0.6722503205872143,292.1988482475281,122.2603509426117,46.64335250854492,9.8337881565094,113.32119512557983
14,0.5319768,0.0,0.5319768,0.79966277,0.3384581997863248,0.3815460405657762,0.6431414687466449,289.686555147171,117.22909235954285,46.66313695907593,8.889432907104492,116.76446080207825
15,0.6203473,0.0,0.6203473,0.7558093,0.3723457532051282,0.38062967569754175,0.6384370640070163,282.3756055831909,117.6261157989502,47.01271963119507,7.682140350341797,109.91404294967651
16,0.5854093,0.0,0.5854093,0.77308697,0.33986044337606836,0.3707078931202878,0.5517606266835342,280.46172547340393,117.27439594268799,47.05354642868042,8.129357099533081,107.86478042602539
17,0.49665958,0.0,0.49665958,0.80934495,0.3534321581196581,0.3565957559304721,0.570980456487864,279.9536700248718,117.3761658668518,47.18538522720337,8.409832954406738,106.83978223800659
18,0.5413095,0.0,0.5413095,0.78989714,0.3761351495726496,0.3880555540816797,0.6459978863642588,290.3450834751129,121.2111759185791,47.39541053771973,8.200172901153564,113.39866852760315
19,0.53280675,0.0,0.53280675,0.7929354,0.3779881143162393,0.3869979573888655,0.6771823627621688,285.0133957862854,117.48714184761047,46.87779378890991,8.68821930885315,111.82054471969604
20,0.536331,0.0,0.536331,0.79523903,0.33730635683760685,0.3830859338111165,0.5786641146167241,282.53595900535583,117.36313843727112,47.33393406867981,8.487983703613281,109.20435357093811
21,0.532635,0.0,0.532635,0.7896969,0.37518362713675213,0.3836618599956879,0.6302960112161999,276.49890208244324,117.27293586730957,47.20367693901062,8.583507299423218,103.29809522628784
22,0.4999104,0.0,0.4999104,0.8113648,0.33743990384615385,0.39276719956030887,0.6829928123666154,287.60777401924133,121.18915033340454,47.25667071342468,8.684268712997437,110.33809471130371
23,0.49226537,0.0,0.49226537,0.8077591,0.37498330662393164,0.38353657650814166,0.7022701744893302,284.80460834503174,117.16255736351013,47.054034948349,8.482844352722168,111.96696758270264
24,0.536131,0.0,0.536131,0.7899306,0.39242788461538464,0.40589198708969326,0.6764656630501327,282.0932786464691,118.04644298553467,47.418859243392944,8.393805503845215,108.09480381011963
